;Comment
0;У них хотя бы кастрюлька есть и свечи. Я видел бедолаг в своём подъезде, которые  кипятили чай в ложечке зажигалкой.
1;"Я в этой ветке прифигел немного. При первой волне Пикабу полнился комментариями из серии ""вроде корона есть, но никто из знакомых не болеет"" А теперь все переболели или болеют. Пздц"
2;так 7 месяцев прошло, в РФ только официально 2.2 млн переболело.
3;У нас вся семья переболела, все родственники жены и все мои родственники, семьи братьев сестёр, дядь, теть, бабушки дедушки....
4;Я неофициально переболел. В больницу не обращался. Сам своими силами справился. На тест денег жалко было.  Да и нет лишних.
5;При этом Собянин говорит только в мск антитела у 50% якобы...
6;Умножай эту цифру на 3 и получишь реальное значение
7;Я заболел на старте, как-то в марте-мае еще. За пару дней вылечился и попиздил на работу. Потом заболел в ноябре. Вызывал врача, мазки отрицательные. В моем окружении (человек 150-200) ни у кого нет положительного теста, хотя некоторые за последние 3 месяца уже 4-5 раз на больничном. Хуй знает.
8;Я 10 дней провалялся. Все ломит, башка болит, ничего делать не могу.  Температура первые 2 дня 38, потом сама спала. Горло не болит, соплей нет, кашля нет. Кислород в крови по прибору 97. Аппетита нет.  Пью противовирусник и витаминки. Ставлю свечи виферон,пью настойку шиповника из термоса. Состояние как будто отпиздили, и возможно ногами. Лежать не могу, делать ниче не могу, фильмы все пересмотрел. На 8 день последняя свечка вечером, а на 9 день с утра последняя таблетка. В обед температура подскакивает до 38. Пропотел до вечера. Утром встаю как огурчик. Как будто не болел.  Вот блять что это было? Впервые в жизни такая хуйня.  Зы. Не курю, веду зож, занимаюсь спортом.
9;Если пропадает запах и вкус или же случается пневмония на ровном месте - это гарантированно коронавирус. Пока этих симптомов нет, это может быть что угодно, от недосыпа, до сезонного гриппа и ОРВ.
10;Сдавала ПЦР перед поездкой к сестре, в лаборатории работает хороший знакомый, который обещал сделать анализ за день и сообщить лично. В итоге, в лабораторию не привезли мой анализ ни в первый день, ни во второй, ни в третий. На четвертый день пришла ПДФка с отрицательным результатом на почту. В лаборатории мой тест так и не видели..
11;У меня двое только близких знакомых официально болели, я и сам болею (или переболел).
12;Вот-вот. Я трижды была на больничном за этот год, и помимо этого каждые два месяца появляются симптомы простуды. На меня уже как на симулянтку смотрят... Да и фиг с ними, косыми взглядами - я попросту сдохну с голоду, если после каждого чиха буду по две недели дома отлёживаться.
13;Ночью показалось, что нет обоняния. Вынул из холодильника копчёное сало. Обоняние есть, сала нет.
14;Где-то я уже это видел 🧐
15;"Ну я не болел и мои знакомые тоже. 😕
Скорее всего потому что я социофобушек и из дома редко выхожу. Ну и в мухосранске живу."
16;Социофобушек.)))
17;"Дык. Результат того, что все более-менее серьезно восприняли карантин на первые 3 месяца, а потом забили хуй, начали выебываеться, притягивая рекомендации воз за уши, выкручивая их в другую сторону, спекулировать на вопросе для специальной олимпиады ""а носить ли маску"" + вылезли адепты отрицания коронавируса, заговоров Билла Гейтса и 5g.
ну и как результат все или переболели, или болеют сейчас, как я. Но в моем случае особенно обидно заразиться коронавирусом, потому что почти целый год я полностью выполнял все требования по карантину. Вот только они не очень работают, если их выполняют не все."
18;Так требования (такие как в России, в Китае - иначе) - это всего лишь отсрочка. Задумка была не уничтожить вирус карантином, а замедлить распространение, чтобы больнички, и так прореженные в последние годы властями, не забивались... Выполняя все требования вы не заболели мае, а в ноябре... Всё идёт по плану.
19;Точно. Я работаю в небольшой конторке. Единственный ношу маску. И да, я знаю , что моя маска больше уберегает ИХ чем меня. Но этим бараньим головам пофиг. Они ученые .
20;По сравнению с весной, очень много.
21;А третья волна будет сильнее или слабее ?
22;А еще есть те кто вроде меня - третий день температура, кислород на месте, запахи чую. Сижу дома, гадаю то ли оно, то ли просто простыл. XD
23;Запахи не сразу пропадают. Бывает так, что три дня темпер держится, а потом постепенно пропадают обоняние, вкус. И то не у всех)
24;Я заболел в воскресение, а запахи пропали в среду, перед пропажей запахов расскалывалась голова, через 8 дней запахи опять появились и перед тем как появились опять расскалывалась голова
