;Comment
0;"Мне кажется что эта проблема с контейнеровозом слишком раздута и надумана.
Просто надо за этой баржей подогнать еще штук десять и пусть начнут беспрерывно сигналить."
1;норм кто-то расположился. костёр. чёт жарит.. верёвка-сушилка привязана к зубу какой-то пасти.
2;Первый модератор пикабу?!
3;Так вот какой у них подвал!
4;Брательник по папиной линии))
5;Жарит зефирку и сушит носки))
6;похож на меня. может мой брат-близнец, с которым меня разлучили в детстве.
7;Так вот где второй носок. А я ищу...
8;Там много крутых деталей, и отсылок)
9;Блоки тоже отсылка к Марио. Не знаю про кого надпись. И просто бургер
10;Причём многие детали в виде окаменелостей) Значит до них кто-то уже пытался и очень-очень давно)
11;Ворона отсылка к игре monument valley если кому то интересно
12;Вас с ТС в детстве не разлучили? Что один заморочился, что второй))
13;Меня сильно улыбнул царь из царства багов (из картинки про программистов, где тоже был концепт с глубокой пещерой, так что отсылка можно сказать самая прямая).
14;"Пфф, да вся картинка отсылка к аниме Made in Abyss.
З.Ы. показать это ребёнку - плохая идея"
15;Кхм...
16;Еще картриж e.t. для atari
17;Отсылка к майнкрафту, как же без него:)
18;Еще кашалот маленький
19;А мне интересно, куда ведет эта дверь?) Ведь можно и вбок немало продолжить)))
20;в копи мории
21;Или это мимик
22;"В покинутую мастерскую наверное
(Bloodborne)"
23;"Это парадная дверь чувака, который высунулся ниже)
... или выше. Тогда это дом кролика, который ждет в гости Винни с Пяточком. Только он немного изменился (годы берут свое)"
24;Алиса в стране чудес
25;https://cv1.pikabu.ru/video/2019/11/12/157358379425016886_72...
26;"""дверь закрыта с другой стороны"""
27;А налево замочная скважина
28;Нам срочно нужно поговорить...
29;Рассказывай. Как поживаешь?
30;Как тебе там? Не одиноко?)
31;Меня интересует только один вопрос. Что за той дверью ????
32;#comment_154171373
33;а  я колготки потеряла((Не видел?
34;Вспоминай с кем вчера была
35;Это мой. Свой ищи в другом месте.
36;Это и есть второй. Первый в стиралке
37;Добби спиздил
38;Хахахахаха, точно твой носок? Может, это мой)))
39;"Анекдот в тему.
Альпинист упал в пропасть. Товарищи ему по мобильной рации:
— Вася, ты жив?!
— Жив!
— Руки целы?
— Целы!
— Ноги целы?
— Целы!
— Так поднимайся!
— Не могу, я еще лечу!"
40;"мужичок с гармошкой
выпал из окошка
пока вниз летел
сам себя отпел ))"
41;Наконец-то длинные экраны смартфонов оказались полезны.
42;Ага
43;Напоминает коробку из под лазера с херовой тучей насадок.
