;Comment
0;['но', 'смочь', 'остальной', 'объяснить', 'водитель', 'скорый', 'который', 'угнать']
1;['дык', 'карточка', 'мозг', 'грузило', 'на', 'некоторый', 'человек', 'смотреть', 'возникать', 'подозрение', 'гиг', 'набраться']
2;['простой', 'битый', 'сектор', 'диск']
3;['я', 'уверенный', 'мой', 'мозг', 'гигабайт', 'память', 'остальной', 'забитый', 'хуитой', 'копаться', 'бесполезно']
4;['ни', 'байт', 'совесть', 'с']
5;['сейчас', 'оператив', 'частота', 'количество', 'ядро', 'программный', 'код', 'объём', 'жёсткий', 'диск', 'путать']
6;['как', 'китайский', 'флешка', 'гб', 'который', 'факт', 'еле', 'влазить']
7;['и', 'оператив', 'мб', 'ряд', 'процессор', 'кнопочный', 'телефон']
8;['у', 'большинство', 'проблема', 'проец']
9;['ну', 'киберпанк', 'играть', 'если', 'предположить', 'карточка', 'мочь', 'найти', 'отследить', 'просветить', 'рентген', 'гиг', 'мозг', 'бесполезно', 'особенно', 'учесть', 'полезный', 'дать', 'обычно', 'весить', 'ведь', 'смысл', 'перевозить', 'голова', 'видеоролик', 'играть', 'котик', 'а', 'дамп', 'база', 'пароль', 'соцсеть', 'что', 'если', 'отрезать', 'медиафайл', 'вряд', 'текст', 'миллиард', 'символ', 'война', 'мир', 'миллион', 'символ']
10;['вшить', 'голова', 'опыт', 'свой', 'работа', 'а', 'бывать', 'сделать', 'вспоминать', 'это', 'делать', 'месяц', 'назад', 'какой', 'чёрт', 'нихрен', 'помнить', 'ну', 'матан', 'теорвер', 'физика', 'вуз', 'грустно', 'год', 'ощущать', 'тупой', 'помнить', 'знать', 'блин', 'год', 'знать', 'порядок']
11;['у', 'мой', 'начальник', 'первый', 'компьютер', 'слабый', 'первый', 'смартфон', 'всё', 'течь', 'всё', 'меняться', 'бг', 'говорить', '«', 'килобайт', 'хватить', 'всем»', 'сразу', 'понять', 'речь', 'бг', 'кто', 'бг', 'это', 'о', 'легендарный', 'личность', 'кстати', 'некоторый', 'бг', 'это', 'борис', 'гребенщик', 'я', 'минута', 'вспоминать', 'песня', 'спеть', '«', 'килобайт', 'хватить', 'всем»']
12;['и', 'тихо', 'добавить', 'если', 'позаботиться', 'обратный']
13;['ну', 'тот', 'время', 'гб', 'этот', 'цифра', 'суперкомпьютер', 'сниться']
14;['ну', 'желание', 'укладываться', 'кб', 'микроконтроллер', 'бывать', 'байт', 'память', 'светофор', 'запрограммировать', 'весь', 'режим', 'кнопка']
15;['возможно', 'джонни', 'просто', 'дешёвый']
16;['а', 'объяснить', 'сидишко', 'терабайт', 'размер', 'фаланга', 'палец', 'нахер', 'нужный', 'больший', 'компьютерный', 'веник', 'домашний', 'пись', 'почему', 'нынче', 'стстемник', 'размер', 'мобилка']
17;['флех', 'предназначить', 'большой', 'количество', 'цикл', 'чтение', 'запись', 'а', 'ссд', 'предназначить', 'они', 'плата', 'кстати', 'внутри', 'свой', 'корпус', 'часто', 'занимать', 'малый', 'объём', 'кстати', 'системник', 'мобилка', 'это', 'пай', 'в', 'общий', 'целое', 'ответ', 'ваш', 'почему', 'производство', 'конкурентноспособный', 'комп', 'мобилка', 'намного', 'дорогой', 'куча', 'проблема', 'питание', 'охлаждение', 'порезать', 'производительность', 'хотеть', 'комп', 'мобилка', 'подключить', 'телефон', 'монитор', 'мышь', 'клава']
18;['цена', 'минимум', 'сорри', 'финский', 'евро', 'универсальный']
19;['я', 'один', 'казаться', 'киана', 'кастрюля', 'голова', 'надевать']
20;['друг', 'попросить', 'скинуть', 'гб', 'порнуха']
21;['так', 'слева', 'котик', 'справа', 'инф', 'страшный']
22;['киана', 'молодой', 'юный', 'зион', 'впереди']
23;['ничего', 'ничего', 'скайнуть', 'пережить', 'заметить', 'судный', 'день', 'это', 'пережить']
24;['смех', 'быть', 'это', 'вспоминать']
25;['оптимистично', 'звучать', 'уметь', 'подбодрить']
26;['скайнуть', 'перечитывать', 'комментарий', 'улыбаться', 'глядеть', 'мой', 'гибернация', 'нейросеть', 'а', 'ваш', 'скриптер', 'улыбаться']
27;['всё', 'всё', 'не', 'понимать', 'радоваться', 'стоить']
28;['при', 'путешествие', 'прошлое', 'создаваться', 'новый', 'будущее', 'так', 'всё', 'это', 'друг', 'измерение']
29;['док', 'марти', 'спасти', 'тот', 'тётка', 'поэтому', 'летать', 'доска']
30;['путешествие', 'прошлое', 'произойти', 'настоящий', 'прошлый', 'хватить', 'плодить', 'измерение']
31;['ёбаный', 'сара', 'коннора', 'конец', 'война', 'девять', 'год', 'остаться']
32;['джонни', 'гб', 'загрузить', 'слишком', 'дофига']
34;['почему', 'это', 'картинка', 'стать', 'болеть', 'жопа']
35;['а', 'замечать', 'роль', 'киана', 'часто', 'звать', 'джон', 'джон', 'константин', 'джонни', 'мнемоник', 'джон', 'уиииииииик']
36;['в', 'многий', 'фильм', 'часто', 'джон', 'просто', 'это', 'имя', 'очень', 'распространить']
37;['антология', 'уральский', 'пельмень', 'примерно', 'столько', 'весить']
38;['откуда', 'мать', 'нога', 'знать', 'примерный', 'вес', 'антология', 'пельмень']
39;['большинство', 'население', 'планета', 'достаточно', 'жизнь', 'продвижение', 'карьерный', 'лестница']
41;['а', 'слить', 'инф', 'фотка']
42;['этот', 'картинка', 'дешифровальщик', 'данные']
43;['использовать', 'информация', 'завязать', 'шнурок']
44;['да', 'фигня', 'это', 'мышечный', 'память', 'спинной', 'мозг', 'который', 'пресет', 'настроить', 'жизнь', 'шаблон']
45;['ну', 'начало', '«удвоитель', 'загружал»', 'загрузить', 'десятка', 'увеличитель', 'норма', 'правда', 'свободный', 'место', 'остаться', 'чисто', '«здрасить', 'везти', 'понял»']
48;['но', 'один', 'фильм', 'говориться', 'какой', 'год', 'происходить', 'событие']
50;['в', 'бежать', 'лезвие', 'прям', 'начало', 'ноябрь', 'мы', 'кстати', 'сель', 'смотреть', 'ноябрь']
51;['мой', 'матрица', 'говорить', 'проебали', 'летоисчисление', 'й']
52;['это', 'обман', 'собрать', 'класс', 'не', 'определённый', 'год', 'происходить', 'действие', 'фильм']
53;['а', 'кадр', 'второй', 'часть']
54;['после', 'событие', 'год', 'верить', 'весь']
55;['а', 'фильм', 'интернет', 'цензура']
56;['причём', 'не', 'важно', 'американский', 'русский', 'власть', 'идти', 'путь', 'китаец', 'скоро', 'пёрнуть', 'бесконтрольно', 'конечно', 'же', 'главный', 'проблема', 'это', 'который', 'тс', 'вживую', 'видеть', 'перевод', 'пикаба', 'всё', 'угодный', 'лишь', 'настоящий']
57;['ну', 'считать', 'цензура', 'бригада', 'якудз', 'лазерный', 'кнут']
58;['там', 'чума', 'это', 'вроде', 'следствие', 'человечество', 'погрязнуть', 'гаджет', 'мозг', 'выдерживать', 'такой', 'поток', 'информация', 'человек', 'сходить', 'ум', 'эпилепсия', 'пр', 'но', 'равно', 'близко']
61;['надеяться', 'роль', 'усов', 'играть', 'женщина', 'м', 'ч']
65;['увы', 'время', 'встретить', 'судьба', 'многий', 'сериал']
66;['охлобыстина', 'сей', 'пора', 'образ', 'конец', 'выйти']
67;['да', 'начало', 'очень', 'осилить', 'пара', 'серия', 'окончательно', 'разочароваться', 'российский', 'сериал']
